Theta,Phi,Sigma1,Sigma2,Shear,VM,Shear1,Error
82,78,16431.62448,2004.693423,683.6809566,35565.38283,17813.56687,
82,80,15541.64318,1926.281468,567.104477,27828.15321,13815.45432,
82,82,13785.56302,2007.887133,82.76299935,32701.45707,16330.13527,
82,84,14634.416,2066.175704,210.1216877,32403.52051,16125.02187,
82,86,13857.25415,1685.041147,26.54012343,26257.16633,13116.84279,
82,88,11753.68879,1577.236846,29.92129008,26329.68884,13116.12207,
82,90,10204.37279,1620.168615,6.656668656,25200.25392,12587.9959,
84,60,84631.50581,6889.5361,7862.661184,143230.3297,71298.25019,
84,62,72002.64749,7042.581327,8236.388136,127710.4522,64068.73926,
84,64,54797.89193,5069.638229,4827.881507,111834.4099,54872.79882,
84,66,45803.78249,4370.067711,3756.394555,90997.63245,45397.63883,
84,68,40817.74071,3926.553422,2270.864783,73656.34523,36644.04599,
84,70,43468.355,4518.158239,2360.453301,70515.54679,34931.55284,
84,72,26490.16106,3023.515814,1345.064029,62046.90774,31069.797,
84,74,27351.34195,3033.856239,1515.012538,48057.94702,24002.83618,
84,76,24174.57658,3027.106907,1206.58325,43941.06625,21878.91517,
84,78,20965.22254,2993.34626,1003.728957,38266.01806,19125.36929,
84,80,17353.48546,2287.647969,430.5077211,37661.95509,18812.64452,
84,82,16591.41303,2338.79205,248.4152469,37530.94331,18628.61208,
84,84,16526.97842,2344.3114,64.42430513,34892.91482,17372.29723,
84,86,15836.95693,2347.0504,46.10521106,34932.93835,17423.11692,
84,88,14702.79267,2068.225668,28.69441602,23403.5382,11706.20117,
84,90,13394.55141,1903.175713,-3.791643469,22454.45274,11241.21562,
86,60,93259.79191,7521.593454,7755.114223,150877.3658,75151.40733,
86,62,79333.99706,8201.769991,6014.738125,138670.3353,69519.15839,
86,64,68598.63958,7738.900325,4957.7374,123815.2813,62056.77041,
86,66,70715.3169,6050.01524,4288.821311,105037.4932,52109.48659,
86,68,44743.19375,4580.392886,1648.322431,79778.95266,39811.19872,
86,70,41433.38879,4715.702029,1441.026862,80138.07887,39805.70758,
86,72,40488.54105,4942.942558,2289.513341,77128.83704,38624.45521,
86,74,32225.99038,3286.117572,1278.280213,63000.41925,31532.20338,
86,76,31040.26458,3479.820953,417.9512901,45098.4372,22530.47995,
86,78,25331.27472,3413.100384,286.1385987,45000.83977,22281.301,
86,80,22371.10342,3567.442227,248.2590436,40832.29275,20475.65828,
86,82,19839.02707,3193.333168,115.1158681,34660.12475,17292.34226,
86,84,18933.83615,2642.852339,49.25222782,33915.83031,16942.42633,
86,86,16253.66633,2522.396019,50.63620095,34389.15084,17151.34013,
86,88,19054.99379,2810.887603,24.62598776,32119.4484,16077.00793,
86,90,13355.86179,2234.162408,16.54703207,21497.64177,10763.99941,
88,60,135732.1434,15813.28279,11200.78185,189100.5395,94937.8644,
88,62,108851.2063,9971.880459,5096.972373,159145.5496,79420.03963,
88,64,77110.37581,9022.216585,6034.639706,129615.2605,64105.84692,
88,66,68426.12562,9033.925346,3654.391941,115568.9753,57288.60127,
88,68,61309.19941,8177.866323,2368.534586,104695.1813,51417.86045,
88,70,43249.52184,5477.364264,2018.421967,73905.35641,36961.42226,
88,72,44935.97598,5712.590515,1886.969151,70342.41125,34990.40362,
88,74,43795.5712,5563.439331,1097.843829,72296.00961,35818.90094,
88,76,29629.20211,4559.956947,590.0903781,46046.96293,23095.61158,
88,78,29925.62196,4043.11778,354.014403,54374.59689,27102.07338,
88,80,25320.67136,4100.187772,113.0194588,47246.62144,23535.13047,
88,82,25699.75988,4067.032824,86.67231134,54362.3233,27103.0121,
88,84,21116.88071,3318.509896,53.71642929,32635.50799,16327.73788,
88,86,22018.66303,3495.203958,25.28739522,34823.31537,17421.55408,
88,88,20037.25623,3043.842996,48.95578019,30235.83355,15137.43136,
88,90,19156.9444,3033.838563,51.06098961,31447.12949,15735.54394,
90,60,156178.8,18751.25187,8471.379904,223207.4608,112479.6714,
90,62,143736.7806,17961.87525,4125.815642,191343.234,96459.36263,
90,64,92317.53109,11495.89548,3790.319101,165755.5051,82854.39457,
90,66,84877.39949,10741.47118,4142.599011,133477.7665,66214.57233,
90,68,64278.83858,9461.081324,2087.440551,118577.0047,59462.67686,
90,70,55770.93396,8323.871797,1111.242656,91518.29291,45750.87908,
90,72,43372.11916,6455.606583,1161.563264,73083.72265,36555.41355,
90,74,44742.39458,6147.378482,1324.696188,68800.16489,34436.6462,
90,76,42305.53275,6407.64159,385.0217448,72327.50205,35956.09372,
90,78,36568.34759,5520.312624,156.3997025,64332.80383,32027.12985,
90,80,35819.64944,5396.379032,83.10171646,56170.68298,27918.95905,
90,82,30229.56041,4634.536402,76.04500379,52338.36441,26234.439,
90,84,29423.50196,4599.129288,110.9973253,46479.76822,23249.51761,
90,86,24606.98316,3801.706719,94.85072335,34824.13646,17412.39623,
90,88,24248.4,3870.516816,99.00590513,38256.41911,19064.37342,
90,90,23349.79969,3682.493069,77.25297292,33638.39606,16799.28111,
